ID,Name,Address,City,State,ZIP,Country,Phone # ,Longitude,Latitude,Website URL,Year Opened,Contemporary Image URL,Historical Image URL
1,Allegheny,1230 Federal Street,Pittsburgh,PA,15212,United States,412-237-15212,40.4563926,-80.006615,https://www.carnegielibrary.org/clp_location/allegheny/,1890,Desktop/map/Allegheny-Exterior.jpg,Desktop/map/allegheny-old.jpg
2,Beechview,1910 Broadway Avenue,Pittsburgh,PA,15216,United States,412-563-2900,40.4070489,-80.0277174,https://www.carnegielibrary.org/clp_location/beechview/,1967,Desktop/map/Beechview-Exterior.jpg,
3,Brookline,708 Brookline Boulevard,Pittsburgh,PA,15226,United States,412-561-1003,40.3943929,-80.021447,https://www.carnegielibrary.org/clp_location/brookline/,1930,Desktop/map/clp-brookline.jpg,Desktop/map/brookline-old.jpg
4,Carrick,1811 Brownsville Road,Pittsburgh,PA,15210,United States,412-882-3897,40.3969917,-79.9875492,https://www.carnegielibrary.org/clp_location/carrick/,1932,Desktop/map/Carrick-Exterior.jpg,
5,Downtown & Business,612 Smithfield Street,Pittsburgh,PA,15222,United States,412-281-7141,40.4417491,-79.9971122,https://www.carnegielibrary.org/clp_location/downtown-business/,1924,Desktop/map/DTB-Exterior.jpg,
6,East Liberty,130 S. Whitfield Street,Pittsburgh,PA,15206,United States,412-363-8232,40.460864,-79.926522,https://www.carnegielibrary.org/clp_location/east-liberty/https://www.carnegielibrary.org/clp_location/east-liberty/,1905,Desktop/map/EastLiberty-Exterior.jpg,Desktop/map/eastliberty-old.png
7,Hazelwood,5006 Second Avenue,Pittsburgh,PA,15207,United States,412-421-2517,40.460864,-79.926522,https://www.carnegielibrary.org/clp_location/hazelwood/,1900,Desktop/map/Hazelwood-Exterior.jpg,Desktop/map/hazelwood-old.jpg
8,Hill District,2177 Centre Avenue,Pittsburgh,PA,15219,United States,412-281-3753,40.4454367,-79.9767578,https://www.carnegielibrary.org/clp_location/hill-district/,1899,Desktop/map/HillDistrict-Exterior.jpg,
9,Homewood,7101 Hamilton Avenue,Pittsburgh,PA,15208,United States,412-731-3080,40.4553094,-79.8992257,https://www.carnegielibrary.org/clp_location/homewood/,1910,Desktop/map/Homewood-Exterior.jpg,Desktop/map/homewood-old.jpg
10,Knoxville,400 Brownsville Road,Pittsburgh,PA,15210,United States,412-381-6543,40.4132042,-79.9891604,https://www.carnegielibrary.org/clp_location/knoxville/,1965,Desktop/map/Knoxville-exterior.jpg,
11,Lawrenceville,279 Fisk Street,Pittsburgh,PA,15201,United States,412-682-3668,40.4675744,-79.959136,https://www.carnegielibrary.org/clp_location/lawrenceville/,1898,Desktop/map/Lawrenceville-Exterior.jpg,
12,Library for the Blind and Physically Handicapped,4724 Baum Blvd.,Pittsburgh,PA,15213,United States,412-687-2440,40.4538329,-79.9491746,https://www.carnegielibrary.org/clp_location/library-for-the-blind-and-physically-handicapped/,1907,Desktop/map/LBPH.jpg,
13,Main (Oakland),4400 Forbes Avenue,Pittsburgh,PA,15213,United States,412-622-3114,40.4432834,-79.9502225,https://www.carnegielibrary.org/clp_location/main-oakland/,1895,Desktop/map/Main-Exterior.jpg,Desktop/map/main-old.JPG
14,Mt. Washington,315 Grandview Avenue,Pittsburgh,PA,15211,United States,412-381-3380,40.4335161,-80.0104711,https://www.carnegielibrary.org/clp_location/mt-washington/,1900,Desktop/map/MtWashington-Exterior.jpg,
15,Sheraden,720 Sherwood Avenue,Pittsburgh,PA,15204,United States,412-331-1135,40.4552007,-80.0565352,https://www.carnegielibrary.org/clp_location/sheraden/,1981,Desktop/map/Sheraden-Exterior.jpg,
16,South Side,2205 East Carson Street,Pittsburgh,PA,15203,United States,412-431-0505,40.4286818,-79.9742727,https://www.carnegielibrary.org/clp_location/south-side/,1908,Desktop/map/SouthSide-Exterior.jpg,Desktop/map/southside-old.jpg
17,Squirrel Hill,5801 Forbes Avenue,Pittsburgh,PA,15217,United States,412-422-9650,40.4384437,-79.9227127,https://www.carnegielibrary.org/clp_location/squirrel-hill/,1972,Desktop/map/SqHill-Exterior.jpg,
18,West End,47 Wabash Street,Pittsburgh,PA,15220,United States,412-921-1717,40.4400415,-80.0340673,https://www.carnegielibrary.org/clp_location/west-end/,1899,Desktop/map/WestEnd-Exterior.jpg,
19,Woods Run,1201 Woods Run Avenue,Pittsburgh,PA,15212,United States,412-761-3730,40.476239,-80.0302121,https://www.carnegielibrary.org/clp_location/woods-run/,1964,Desktop/map/WoodsRun-Exterior.jpg,
